Headings;Site;Installation;Description;A0Dir;Depth Top;Depth Bottom;Depth Interval;Depth Offset;Latitude;Longitude;Elevation;Instrument Constant;Orientation Correction;DepthUnits;DisplayUnits
Installation v1;VEGA;VI-01;;0;1;19;0.5;0;0;0;0;25000;0;Meters;mm
Headings;Survey DateTime;Num Passes;Num Depths;Sensor SN;Actl Cnst;Rotation A;Rotation B;Bias A;Bias B;Sensitivity A;Sensitivity B;Operator;SurveyType;Settlement Corrected;CutAtBottom;Water Level
Survey v2;13/01/2024 09:55:00;2;38;DP45VEGA1,C;50000000;0.0000;0.0000;0.0;0.0;1.000;1.000;;0;False;False;0
Depth;A0;A180;B0;B180
0.5;-571328;626193;-134649;183863
1;-687539;731529;113064;-55340
1.5;-141706;196013;245274;-198404
2;222030;-171726;239797;-195440
2.5;555756;-511167;343626;-303459
3;851314;-791616;-26179;80697
3.5;908042;-857569;69422;-26697
4;495049;-449816;-153549;199657
4.5;381856;-336449;300620;-252813
5;418669;-355516;561550;-518466
5.5;215990;-165892;33735;17344
6;232481;-181925;-128019;178198
6.5;62390;-11049;-42653;87836
7;-56003;105642;-113353;155002
7.5;-107165;162816;-302784;354557
8;43094;-4372;-836736;886909
8.5;-188801;251485;-826154;877037
9;31470;17647;-862982;908700
9.5;-512777;565195;-632983;683638
10;-651660;696369;-689109;750839
10.5;-193629;240523;-905254;946493
11;-110515;148943;-614423;651399
11.5;-81467;130992;-415381;462366
12;216557;-170644;-370558;415908
12.5;-189961;240073;-599489;649767
13;143050;-93520;-451092;499037
13.5;-110126;157050;-261718;304995
14;-320626;366336;-515757;571945
14.5;-208377;261046;-246029;286204
15;189435;-135856;-283508;341966
15.5;-203537;253717;-288550;337471
16;-4920;46520;-584618;628667
16.5;83908;-32232;-880960;926484
17;-133007;181066;-1047996;1097861
17.5;-146520;203797;-1511886;1564123
18;-253327;306060;-1101514;1149120
18.5;-43365;99876;-920083;965275
19;34141;17090;-1223209;1275197
